"","gene1","gene2"
"1576","CCDC85B","THAP7"
"1577","MAGEA11","KIAA0408"
"1578","PTBP1","CALCOCO2"
"1584","PTBP1","SNRPA"
"1585","RHOXF2","DTX2"
"1586","PSME3","WDR25"
"1587","KRT15","LDOC1"
"1588","ZBED1","TRAPPC2P1"
"1589","MLH1","TRIM29"
"1592","EMILIN1","MTMR9"
"1593","PLSCR1","SF1"
"1594","WDR6","CDC42EP4"
"1597","ACTG1","ACTG1"
"1598","TRAF2","BANP"
"1600","PSME3","ZCCHC10"
"1602","LDB1","SSBP4"
"1603","USP2","BEND5"
"1605","RHOXF2","FAM46D"
"1606","LMO2","STAT1"
"1607","NECAB2","WDYHV1"
"1608","MCRS1","CEP44"
"1609","TRIP13","CYB5R2"
"1610","FKBP6","NME7"
"1612","TRIM29","TSGA10"
"1615","KRT15","USHBP1"
"1616","HPCAL4","DTX2"
"1617","AP2M1","DVL2"
"1618","NDC80","PLDN"
"1621","PLSCR1","CCDC33"
"1622","CALCOCO2","CPNE7"
"1623","PSMC6","CCDC85B"
"1626","MIF","GORASP2"
"1630","SNRPA","C19orf43"
"1632","FXR2","CCDC85B"
"1634","KLHL12","SNX20"
"1635","DRAP1","POLE3"
"1636","SRGN","SGTA"
"1637","KIAA1279","ZNF638"
"1638","AP2B1","MEA1"
"1639","XPO6","NUP62"
"1640","SSSCA1","C20orf195"
"1642","LDOC1","ZNF408"
"1644","SDCBP2","TIFA"
"1645","ATF4","LDOC1"
"1646","ASH2L","DPY30"
"1647","KRT20","KRT20"
"1648","CCDC85B","ZNF417"
"1649","FANCG","GABPB1"
"1650","GYG1","POM121"
"1653","TRAF2","KIAA0408"
"1654","BAHD1","KRTAP4-12"
"1655","U2AF2","CHIC2"
"1656","NDC80","KLHL12"
"1658","TCEB3B","KXD1"
"1662","SNAP23","ABI2"
"1663","TRIP13","STAMBPL1"
"1664","CCDC85B","CCDC112"
"1667","TRAF2","SOX30"
"1668","RHOXF2","FBF1"
"1674","BAIAP2","NCKIPSD"
"1676","RAB3IL1","RAB11A"
"1679","NOL3","SIRPA"
"1681","CCNK","USHBP1"
"1682","ACTB","DSTN"
"1683","TRIP13","HDHD3"
"1688","CCDC85B","CHCHD3"
"1689","ZBTB16","Cep72"
"1692","DVL2","MCRS1"
"1694","SRSF6","RNPS1"
"1695","MAGEA11","MCRS1"
"1696","MAPK9","CEP44"
"1699","CCNB1IP1","CCNB1IP1"
"1700","KIAA1279","ZNF670"
"1701","HOXB9","KRTAP4-12"
"1702","UBE2I","IKZF1"
"1703","APPBP2","MFSD3"
"1704","SETD5","DPPA2"
"1706","RBPMS","C1orf94"
"1707","FXR2","C10orf62"
"1710","CCDC85B","SYT17"
"1711","THAP10","KRTAP4-12"
"1715","GNMT","PLEKHF2"
"1716","IGHM","Cep72"
"1718","PPP2R5D","PPFIA1"
"1719","IRF3","PRDX1"
"1721","DVL2","C9orf100"
"1723","UBC","DAZAP2"
"1725","KHDRBS3","CCDC33"
"1726","KXD1","ING5"
"1728","KXD1","CCDC33"
"1729","LDOC1","DPPA4"
"1731","GFAP","PDLIM7"
"1733","BEGAIN","ZNF250"
"1735","MAGEA11","UBE2D4"
"1738","LMO3","ALS2CR8"
"1739","PRMT8","PRMT8"
"1742","TRIP13","CARD14"
"1744","RBPMS","RBPMS"
"1748","ZBTB16","LDOC1"
"1752","PLSCR1","NOC4L"
"1753","MAGEA11","SNX20"
"1754","TRAF2","ZNF646"
"1755","CCDC85B","ZNF426"
"1756","GABPB1","USO1"
"1757","HIF1AN","ASB9"
"1761","GNAI2","PLSCR1"
"1763","PPARA","STAC3"
"1764","KRT19","PCM1"
"1766","PSMA1","TSC22D4"
"1768","CCDC85B","FAM214B"
"1771","GAGE5","GMCL1P1"
"1772","TRIM23","SF1"
"1774","LIMS1","RBBP8"
"1778","KRT15","KIAA1267"
"1785","TNNT1","PLEKHF1"
"1786","KRTAP4-12","C10orf62"
"1787","KRTAP4-12","ZNF764"
"1790","UNC119","C16orf74"
"1791","SH3GL1","SH3GL1"
"1792","RGR","KIAA1279"
"1796","CDK4","CDKN2D"
"1797","TMEM147","ABI3"
"1800","PRPF3","GTPBP3"
"1802","PLSCR1","KIAA1683"
"1805","BEGAIN","CATSPER1"
"1806","SPOP","DPPA2"
"1808","KRTAP4-12","CBX2"
"1809","MCRS1","RALYL"
"1810","KIAA0408","ABI3"
"1811","CCDC85B","FAM208B"
"1813","SERF2","RHOXF2"
"1815","CCDC85B","CCDC33"
"1818","HNRNPC","CCDC85B"
"1821","BEND7","PPP1R37"
"1823","TRIP13","ZNF655"
"1825","FKBP6","CCNK"
"1827","NECAB2","DGCR6L"
"1829","DHPS","NUDT18"
"1830","FAM107A","USHBP1"
"1832","KRT15","TUBGCP4"
"1836","STX11","CCNK"
"1838","USHBP1","FBF1"
"1840","CRY1","KRTAP4-12"
"1841","CCDC85B","CWC25"
"1842","CBS","FXR2"
"1843","YWHAE","GPRIN2"
"1844","EXOC7","RTN4IP1"
"1845","KIAA0408","BEGAIN"
"1846","MCM6","ALS2CR11"
"1848","SF1","WWP2"
"1849","HGS","EXOC8"
"1856","CALCOCO2","ZNF101"
"1858","RCBTB2","RCBTB2"
"1860","TRIM23","POM121"
"1861","CREB3","APPBP2"
"1863","SALL2","CEP76"
"1864","TRIM37","RIBC2"
"1867","CDK5R1","TSC22D4"
"1870","SFN","PLK4"
"1871","SMARCD1","USHBP1"
"1873","C5orf22","ELOF1"
"1876","JUP","WDYHV1"
"1879","GCC1","USHBP1"
"1880","MAGEA11","OTUB2"
"1881","CALCOCO2","LSM4"
"1883","ZNF580","TSC22D4"
"1884","TOP3B","KRTAP4-12"
"1886","U2AF2","PUF60"
"1887","CNNM3","KRTAP4-12"
"1888","KRT15","C1orf65"
"1891","SAT1","TSC22D4"
"1892","UBE2I","PDLIM7"
"1895","RILPL2","RILPL2"
"1896","AP2M1","IKZF1"
"1898","DTNB","TRAF2"
"1900","PLA2G16","UBQLN1"
"1901","TRIM37","RHPN1"
"1902","VASP","DMRTB1"
"1904","PLOD3","FAM153A"
"1905","CCDC112","TEX9"
"1910","SPG7","KRTAP4-12"
"1911","COPS4","USHBP1"
"1917","NDUFA5","DAZAP2"
"1923","RAD23A","SQSTM1"
"1925","RBPMS","C9orf100"
"1926","ISG15","USP18"
"1927","NRIP1","LDOC1"
"1928","TRIM23","GGA2"
"1931","EZH2","CCDC85B"
"1932","BNIP3L","BNIP3L"
"1933","CHIC2","KRTAP4-12"
"1934","KRT15","RCOR3"
"1935","SNAP25","STX11"
"1936","TRIP13","KIAA1609"
"1938","THG1L","ELMOD1"
"1939","RPIA","WDYHV1"
"1940","KRT15","KRT20"
"1941","QARS","TRAF2"
"1942","KRTAP4-12","KRTAP4-12"
"1943","RADIL","RHOXF2"
"1944","TPM1","KXD1"
"1945","DVL2","U2AF2"
"1946","TXNL4A","RHEBL1"
"1947","CCDC85B","IKZF5"
"1949","IL16","USHBP1"
"1953","KIAA0182","NUDT18"
"1956","FXR2","RABAC1"
"1957","GLUL","PLEKHF2"
"1958","USHBP1","FATE1"
"1959","RPIA","RPIA"
"1964","KRT15","TSG101"
"1967","MAGEA11","NDEL1"
"1969","HOXA1","CHIC2"
"1970","TNNI1","CCDC85B"
"1971","ILF3","KRTAP4-12"
"1975","HOOK1","ZNF250"
"1976","CPSF6","ARMC7"
"1978","HIF1AN","FBF1"
"1980","SFN","MARK3"
"1981","KXD1","IFT20"
"1984","DVL2","TIFA"
"1985","ATF4","TREX2"
"1986","THAP1","C1orf35"
"1988","CCDC85B","C1orf65"
"1989","CALCOCO2","GABARAPL2"
"1991","MAPK9","ZBTB25"
"1993","PLSCR1","ATG12"
"1994","MPP1","AMOTL2"
"1995","UBE2I","ZNF646"
"1996","TUBGCP4","SDSL"
"1997","FAM103A1","RHOXF2"
"1998","CKB","ASB9"
"2002","HMG20A","MAGOHB"
"2003","PMM1","RAB6A"
"2004","FANCG","ZBED1"
"2005","KRTAP4-12","CCDC116"
"2006","HOMER1","ABI3"
"2007","ZNF165","ZNF446"
"2009","PAFAH1B3","PAFAH1B3"
"2011","SNAP23","ABI3"
"2018","DCTD","CEP76"
"2019","CCNK","RBPMS"
"2020","TRAF2","THAP7"
"2021","NMI","HGS"
"2022","KRTAP4-12","C1orf65"
"2023","FBF1","IFT20"
"2024","RBM7","CCDC85B"
"2025","CCNH","PSMA1"
"2026","SSSCA1","CCDC33"
"2027","NUDT21","CPSF7"
"2028","FZD7","UBQLN1"
"2029","UBB","DAZAP2"
"2030","TUBGCP4","OBFC1"
"2031","ZNF821","C1orf190"
"2035","MTMR9","MTMR9"
"2036","MAGEA11","NDUFB9"
"2037","USP2","CCDC85B"
"2038","MAGEA11","MYOZ1"
"2040","EIF4EBP3","EIF4E2"
"2046","MAD2L1","TSC22D4"
"2047","SQSTM1","GABARAPL1"
"2049","ARRB1","GNMT"
"2053","FXR2","PAICS"
"2055","PSMA1","NMI"
"2056","TRAF2","CCDC33"
"2057","NONO","MAD1L1"
"2058","CCDC85B","SETD5"
"2059","CCDC85B","FAM50B"
"2060","NCS1","DTX2"
"2061","KLHL2","KLHL12"
"2062","CSTF2T","UBQLN1"
"2064","MTF1","AP1M1"
"2065","SH3GL1","SH2D4A"
"2066","TSC22D4","CCDC42"
"2071","GABPB1","LMO3"
"2075","COL4A3BP","COL4A3BP"
"2076","CCDC33","USHBP1"
"2077","THAP1","NKAP"
"2078","RALYL","RALYL"
"2079","RBPMS","KIAA0182"
"2080","KRT6A","CCDC85B"
"2081","ZNF426","KRTAP4-12"
"2083","AP2B1","TUBGCP4"
"2084","HOXB6","PLSCR1"
"2085","CDC23","RBPMS"
"2086","GNMT","NUDT18"
"2087","BEGAIN","ZNF417"
"2088","COL8A1","KLHL12"
"2092","BLMH","KBTBD7"
"2093","DAZAP2","TOLLIP"
"2096","PRPSAP1","PRPSAP1"
"2098","APPL2","RAB22A"
"2099","FAM189A2","BAG3"
"2100","CCDC85B","MOAP1"
"2101","RABAC1","FAM160A2"
"2102","PSME3","KIAA1267"
"2104","TRAF2","TRPT1"
"2106","PLDN","PLDN"
"2109","UBE2I","IKZF3"
"2111","KRT15","KRT19"
"2112","OGDH","PLSCR1"
"2115","AP2M1","RUNDC3A"
"2117","HNRNPC","KRAS"
"2121","AMOTL2","GCC1"
"2123","PLSCR1","MED15"
"2125","TRIM37","ZNF655"
"2127","SNAP29","C1orf190"
"2129","PFKL","KRTAP4-12"
"2130","YWHAE","SORBS2"
"2134","TRAF2","SPRY2"
"2135","ZNF205","CCDC85B"
"2136","TREX1","RIBC2"
"2138","NONO","PLEKHF2"
"2139","ZC3H10","ZC3H10"
"2140","TRAF2","APPL1"
"2144","PHC1","SFMBT1"
"2146","HGS","MIF4GD"
"2147","TRAF2","GORASP2"
"2148","HNRNPC","HNRNPC"
"2149","MAGEA11","ARHGAP29"
"2151","HHEX","KRTAP4-12"
"2153","RBPMS","C12orf12"
"2154","HIF1AN","ASB13"
"2156","PLK4","FAM46C"
"2157","KRT19","C10orf10"
"2160","KRT15","USP2"
"2161","GCC1","FBF1"
"2162","LPXN","IMP3"
"2163","UBE2D1","RNF126"
"2165","USO1","C1orf94"
"2167","CALCOCO2","ZNF638"
"2168","KRT15","C1orf216"
"2175","TRAF2","TRAF6"
"2177","CALML3","KIAA1683"
"2178","ZNF263","ZNF446"
"2179","RARA","RXRG"
"2180","LIMS1","LPXN"
"2181","SIX1","CCDC85B"
"2182","SFN","WDYHV1"
"2184","DVL2","TCEB3B"
"2185","CCDC85B","FASTKD5"
"2186","TRIP13","RBPMS"
"2188","KRTAP4-12","ZNF439"
"2192","RBBP8","C17orf28"
"2193","IL16","SSSCA1"
"2200","ELF5","SIRT6"
"2201","ACCS","FBF1"
"2202","DVL3","KLHL12"
"2204","KHDRBS3","NUDT18"
"2206","ZNF638","KRTAP4-12"
"2207","ILK","PARVA"
"2208","KIAA0408","HOOK2"
"2209","GTPBP3","GTPBP3"
"2210","CDC25A","NAA10"
"2211","PUF60","LOH12CR1"
"2212","MAGEA11","MLF1"
"2214","CCNK","CEP76"
"2215","CALCOCO2","FBXL18"
"2216","CCDC85B","C10orf10"
"2217","NDUFA5","NDUFB1"
"2218","SNF8","VPS25"
"2221","LDOC1","ZNF250"
"2224","TEAD4","WWTR1"
"2225","CCDC85B","AKIRIN2"
"2226","CDC42EP3","CDC42EP3"
"2227","RTN3","FAM160A2"
"2228","GRN","FAM131C"
"2229","SDCBP2","BEND7"
"2231","DTNB","CCDC85B"
"2233","LDOC1","IKZF5"
"2234","TRIP13","DTX2"
"2235","TANK","ZC3H12A"
"2237","PLSCR1","FBXL18"
"2239","ATG12","KRTAP4-12"
"2242","PRC1","KRT20"
"2243","SDCBP2","DPPA2"
"2244","APEH","UBA5"
"2246","JUP","RIBC2"
"2247","NCK2","ABI2"
"2249","ABI2","KRT20"
"2250","DAZAP2","ZFAND2B"
"2253","EIF4A3","C3orf19"
"2254","KRT17","CCDC85B"
"2255","THAP1","THAP1"
"2259","KRT15","ABI3"
"2260","HOOK2","ZNF250"
"2263","TNIP1","MAGEB18"
"2265","COL8A1","KRTAP4-12"
"2266","TRAF2","RIBC2"
"2267","FASTK","RBPMS"
"2269","AEBP2","RALYL"
"2270","ZFP36","CCDC85B"
"2271","HOXA9","RBPMS"
"2272","RAB3IL1","RAB3IP"
"2273","CCDC85B","AGGF1"
"2274","RTN1","PLEKHF2"
"2276","PSME3","NUDT18"
"2277","PLDN","EXOC8"
"2279","DYNC1I1","DYNLL2"
"2281","LMO2","MAPRE3"
"2284","DPPA2","DPPA2"
"2287","KRT19","EXOC8"
"2288","EIF3H","ABI3"
"2291","LDOC1","FAM208B"
"2292","ZNF446","DGCR6L"
"2295","SFN","CHST1"
"2296","DVL3","KAT7"
"2297","DHPS","EIF5A2"
"2299","GSTZ1","GSTZ1"
"2300","PLSCR1","NECAP2"
"2303","THAP1","ZNF408"
"2304","IFFO1","RNF183"
"2307","UBQLN1","UBQLN1"
"2313","HNRNPC","RALYL"
"2317","PIH1D1","TSC22D4"
"2319","CBX5","PRR14"
"2320","CRX","C2orf65"
"2324","HGS","LDOC1"
"2325","PKN1","CCDC85B"
"2327","PLSCR1","C10orf10"
"2329","NME7","TCHP"
"2330","KRTAP4-12","ZNF417"
"2332","PLSCR1","FAM103A1"
"2333","CPSF6","KLHL12"
"2334","VASP","NOL3"
"2335","HPRT1","WDYHV1"
"2336","MCM6","PSMA1"
"2337","ZNF205","CALCOCO2"
"2341","SORBS3","DMRTB1"
"2342","KRT6A","KRT15"
"2345","U2AF2","C1orf190"
"2346","MOB1A","KXD1"
"2349","DVL2","DDI1"
"2354","ZBTB25","KXD1"
"2355","PITX1","RBPMS"
"2356","KRT20","ZC3H14"
"2358","MAGEA11","ZBTB16"
"2361","DAZAP2","NOC4L"
"2363","TRAF2","DLGAP5"
"2365","NME3","SGTA"
"2366","BBS2","PSME3"
"2367","SERF2","PSME3"
"2368","CRK","PLSCR1"
"2370","FXR2","CALCOCO2"
"2372","TRIM37","DLGAP5"
"2374","MAGEA11","PRDX3"
"2375","ACTB","ACTG1"
"2376","AP2M1","RTDR1"
"2377","DVL2","RNPS1"
"2378","ACTN4","MYOZ2"
"2379","EIF4E2","KRT20"
"2381","SAT1","DNPEP"
"2383","LMO3","KXD1"
"2385","APPBP2","ZCCHC12"
"2386","DVL2","CPSF7"
"2388","COL4A3BP","RTN3"
"2389","KRT20","FAM164C"
"2390","ZNF24","ZNF446"
"2391","SSSCA1","SSSCA1"
"2392","PHC2","PHC2"
"2393","MAGEA11","SPRYD5"
"2394","NME1","GORASP2"
"2396","LDB1","LMO3"
"2398","PTK2","ATG12"
"2399","CCDC85B","CCDC116"
"2402","TRIM29","GCC1"
"2403","FHL3","MED15"
"2406","CSNK1G2","COL4A3BP"
"2409","TNNT1","PPFIA1"
"2411","PLDN","C1orf190"
"2413","KRT6A","KRT17"
"2414","HOMER3","DYNLL2"
"2416","CCDC85B","TCHP"
"2417","ZNF250","CEP44"
"2418","MLH1","ZC3H11A"
"2420","EIF4H","C11orf68"
"2422","PDCD6","MAPK1IP1L"
"2423","TNNT1","TNNT1"
"2425","TEAD4","CCDC85B"
"2429","DOCK10","C1orf190"
"2431","CD99","UBQLN1"
"2432","APPBP2","WNT5B"
"2436","CCDC85B","CCDC67"
"2437","AP2B1","THAP1"
"2438","CALM2","KIAA1683"
"2439","SERTAD1","KLHDC5"
"2442","SERTAD3","USHBP1"
"2445","SERF2","RBPMS"
"2447","NECAB2","NECAB2"
"2448","KRT19","ZNF638"
"2449","AP2B1","POM121"
"2451","KRT19","USHBP1"
"2453","PLSCR1","KRTAP4-12"
"2454","FCHSD2","CCDC85B"
"2458","CALCOCO2","POLI"
"2459","CCDC85B","DOK5"
"2460","CCDC85B","LMO3"
"2461","STX11","KXD1"
"2463","C6orf108","C6orf108"
"2464","IGLC1","UBQLN1"
"2465","FHL3","CDC42EP1"
"2467","PSMC5","RORA"
"2469","KIAA0408","CCDC85B"
"2471","DVL2","SNF8"
"2473","SAT1","SAT2"
"2475","TRAF2","IPO11"
"2478","TRAF2","KIAA1267"
"2481","CRK","DPPA4"
"2482","TRIM37","PNKP"
"2483","PHC2","LMO3"
"2484","PCM1","ABI2"
"2485","CCND2","CDKN1A"
"2488","DDX39A","SARNP"
"2490","C21orf7","TAB3"
"2494","PLSCR1","GPRIN2"
"2496","CBS","C17orf28"
"2498","GCSH","NMI"
"2499","CALCOCO2","PTBP2"
"2500","ZBED1","NUDT18"
"2502","AKR7A2","AKR7A3"
"2503","NKAP","Cep70"
"2504","SRSF4","SRSF6"
"2509","TREX1","IFT20"
"2511","CCDC85B","RIBC2"
"2513","SF1","RBPMS"
"2514","GPRIN2","KRTAP4-12"
"2515","THAP7","KRTAP4-12"
"2518","POLR2L","CCDC85B"
"2519","NECAB2","RCOR3"
"2522","PCM1","EXOC8"
"2523","MAGEA11","TRMT1"
"2528","PARP11","GTPBP3"
"2529","AKR7A3","AKR7A3"
"2531","BUB1","CRK"
"2538","HOXA1","KRTAP4-12"
"2541","ZNF232","ZNF446"
"2542","UBE2D4","DTX2"
"2545","KIAA0182","RCOR3"
"2547","TCL1A","HIST3H2A"
"2548","RABAC1","DUSP12"
"2549","TRAF2","HINFP"
"2550","CCDC85B","EXOC7"
"2551","KXD1","RNF183"
"2554","VPS33B","C14orf133"
"2557","UBE2D4","RNF126"
"2560","DYNLT3","TESC"
"2561","TRAF2","USP2"
"2562","SFN","TBL3"
"2563","KRT15","NOC4L"
"2564","PTS","PTS"
"2568","GABARAPL2","UBA5"
"2569","HNRNPC","FXR2"
"2570","TRIM37","PRC1"
"2571","CDC23","TSC22D4"
"2574","HNRNPC","PHKB"
"2575","FXR2","TSC22D4"
"2576","ZNF263","TRIM41"
"2578","PUF60","PUF60"
"2579","Cep72","ZNF417"
"2582","GFAP","SH3YL1"
"2585","AP2B1","NECAP2"
"2586","MCRS1","CCDC85B"
"2589","LMO2","DAZAP2"
"2590","ARL6IP1","INPP5K"
"2594","RUNX1T1","C19orf57"
"2595","APPBP2","RRS1"
"2596","PLDN","WDYHV1"
"2597","ZNF408","RALYL"
"2600","BET1","USHBP1"
"2601","UTP6","KXD1"
"2602","NFIC","TKTL2"
"2604","NUDT18","KRTAP4-12"
"2605","GCC1","CPSF7"
"2610","PAFAH1B3","CHMP7"
"2612","CCDC87","CCDC155"
"2614","FXR2","KXD1"
"2615","CCDC85B","ZNF638"
"2618","NME5","DYDC2"
"2619","CALCOCO2","DKFZp761E198"
"2620","C1orf65","C1orf190"
"2621","RABAC1","NUDT18"
"2622","RALBP1","HOOK2"
"2623","STK16","RPIA"
"2626","TRAF2","SETD5"
"2627","HPCAL1","DTX2"
"2629","TRAF2","FATE1"
"2630","PAFAH1B3","SDCBP2"
"2631","TRAF2","C5orf55"
"2632","THAP1","POLR2M"
"2633","DVL2","SNIP1"
"2634","TRAF2","BAHD1"
"2636","KIAA1279","PLEKHF1"
"2637","AP2M1","DPPA2"
"2638","CCDC85B","C19orf25"
"2642","DVL2","PRPF3"
"2646","CALCOCO2","KAT7"
"2648","DAZAP2","UBAC1"
"2649","DDIT3","MCMBP"
"2651","RTN3","PLEKHF2"
"2655","VASP","WWP2"
"2656","CCDC85B","GCC1"
"2658","STX4","VAMP3"
"2659","MEOX2","RND2"
"2661","SNAP23","SCGN"
"2663","RNF8","CCDC85B"
"2664","PHC1","UBE2I"
"2665","ZNF408","Cep70"
"2666","PLSCR1","SPRY2"
"2667","PDLIM7","WWP2"
"2670","CDC42EP1","KRTAP4-12"
"2671","MAGEA11","C2orf51"
"2677","SULT1E1","SULT2B1"
"2679","CCDC85B","RALYL"
"2680","HGS","CCDC33"
"2682","NADSYN1","MYO15B"
"2683","PAICS","PAICS"
"2684","BNIP3","TMEM11"
"2685","SNAPC5","BATF"
"2686","DPEP1","KIAA1279"
"2687","NUDT18","EVI5L"
"2688","MAGEA12","STAT5A"
"2690","NCK2","NCKIPSD"
"2694","MLH1","FRMD6"
"2696","TRIP13","LOXL4"
"2700","KRT15","DGCR6L"
"2701","SF3A3","CCDC85B"
"2706","TNNT1","ZMYND19"
"2708","UBE2I","CHMP4B"
"2709","NCALD","DTX2"
"2710","PLDN","AGGF1"
"2713","HGS","BEGAIN"
"2714","PSMC5","TNNT1"
"2716","TRIM37","KIAA0408"
"2717","MAPRE2","MAPRE2"
"2718","MAGEA11","PNKP"
"2719","STAM2","L3MBTL2"
"2720","PDZK1","PEX5"
"2723","MEOX2","KRTAP4-12"
"2725","DVL2","BAHD1"
"2727","ZBED1","SORBS3"
"2728","PSME3","PSME3"
"2730","RPS27A","DAZAP2"
"2733","ZNF426","Cep70"
"2735","RBPMS","C2orf51"
"2736","NRBP1","TSC22D4"
"2737","GNG11","AMOTL2"
"2740","RIBC2","NRBP1"
"2741","ZBTB25","SORBS3"
"2745","FHL3","LASP1"
"2746","SLC22A6","APPBP2"
"2749","CRK","PSMC6"
"2751","DVL2","TP53"
"2753","CTH","CTH"
"2754","1-Sep","TOLLIP"
"2755","NAGK","NAGK"
"2758","HMG20B","CCDC85B"
"2759","DTNB","PRTFDC1"
"2760","RPL23","BCCIP"
"2762","PITX1","RHOXF2"
"2763","KRT15","TXNDC11"
"2765","CKB","SERP2"
"2766","STK25","PDCD10"
"2767","TRIM2","SIRPA"
"2768","STAC3","STAC3"
"2769","USHBP1","USHBP1"
"2771","MAGEA11","ACMSD"
"2774","HOOK2","CCDC33"
"2775","MAGEA1","UQCRB"
"2776","RBM7","KHDRBS3"
"2778","RABAC1","PLEKHF2"
"2779","MAGEA11","C18orf54"
"2780","ZNF471","ZNF471"
"2781","HOXB6","KRT15"
"2782","SEC13","SEC16B"
"2783","ZCCHC10","STAC3"
"2785","LDB1","SSBP2"
"2786","DAZAP2","RHOXF2"
"2787","RBPMS","FAM103A1"
"2792","CALCOCO2","PCGF1"
"2793","ARHGEF15","C11orf49"
"2794","PLSCR1","VASP"
"2795","TRIP13","SEC24A"
"2796","DVL2","BAG3"
"2799","HGS","C1orf190"
"2800","UBQLN1","RIC8A"
"2805","MLLT3","APPBP2"
"2807","AMOTL2","KRT20"
"2809","AP2B1","NUP54"
"2812","AP2M1","TBC1D5"
"2814","TRIP13","SMUG1"
"2815","SCAND1","ZNF167"
"2817","DYNLT3","DYNLT3"
"2819","TCL1A","CALCOCO2"
"2820","NMI","HDDC3"
"2821","PSMD2","UBLCP1"
"2822","ZNF263","SCAND1"
"2823","HOOK2","AKTIP"
"2825","CLK2","CLK3"
"2827","FXR2","LDOC1"
"2829","DCTD","NUDT18"
"2830","CDKN2D","TBC1D17"
"2832","SORBS3","CPSF7"
"2837","ABI2","IFT20"
"2838","TRIM29","Cep70"
"2840","HGS","DAZAP2"
"2841","U2AF2","BEND7"
"2842","VASP","TRIM9"
"2843","UBE2I","HGS"
"2844","RBBP8","FXR2"
"2846","SORD","SORD"
"2850","GFAP","POM121"
"2854","NUDT21","CPSF6"
"2855","SPATA2","Cep72"
"2856","HNRNPC","PIN1"
"2857","NDUFA5","CCDC85B"
"2858","MALL","CREB3"
"2861","UBE2I","ZBED1"
"2862","NECAB2","KIAA1267"
"2863","SMARCD1","CALCOCO2"
"2867","SORBS3","EFS"
"2868","COPS4","C19orf57"
"2869","PDLIM7","DKFZp761E198"
"2872","CALCOCO2","TCEB3B"
"2879","PSMA1","CCDC85B"
"2881","AP1M1","RUNDC3A"
"2882","DVL2","TRAF2"
"2883","ASL","QARS"
"2884","SERPINI2","UBQLN1"
"2885","PLSCR1","CDC42EP1"
"2886","EIF4E2","KRTAP4-12"
"2887","RABAC1","SMCR7"
"2892","BNIP3","BNIP3L"
"2902","GFAP","RIBC2"
"2905","FAM107A","HOOK2"
"2908","MEOX2","TULP2"
"2910","CCDC33","TSC22D4"
"2911","SAA4","NUDT9P1"
"2912","USHBP1","C1orf216"
"2914","RBPMS","ARHGAP9"
"2916","CALCOCO2","CALCOCO2"
"2918","PRPF3","DPY30"
"2919","C19orf57","C19orf57"
"2920","ACTN1","MAGEA11"
"2922","RABGEF1","KXD1"
"2924","GABPB1","MAGEB18"
"2925","MAGEA11","CEP76"
"2927","DR1","POLE3"
"2928","STX5","NAPA"
"2931","ZNF165","KRTAP4-12"
"2932","PCYT2","JMJD5"
"2934","AHSP","ZC3H12A"
"2935","RSG1","FUZ"
"2936","TRIM37","ZNF417"
"2937","SSSCA1","NOC4L"
"2938","ZCCHC10","DPPA2"
"2939","NRIP1","Cep70"
"2940","CALCOCO2","ZNF426"
"2941","FAM160A2","REEP6"
"2942","MAGEA11","TCEANC"
"2943","TUBGCP4","USHBP1"
"2945","PDLIM7","C1orf65"
"2946","CALCOCO2","C20orf195"
"2947","AMOTL2","MAGOHB"
"2951","HCLS1","SH2D4A"
"2952","MAGEA11","RADIL"
"2953","CCDC85B","EXOC8"
"2954","SIGLEC5","TRIP13"
"2963","NONO","NONO"
"2964","RUNX1T1","NECAB2"
"2965","KRT15","RIBC2"
"2967","SLC25A10","KRTAP4-12"
"2968","UGP2","UGP2"
"2969","DVL2","ZNF263"
"2972","METTL1","WDR4"
"2976","SULT2B1","ALS2CR12"
"2979","SRI","CALCOCO2"
"2982","ACTG1","DSTN"
"2983","PIN1","RBPMS"
"2984","ASPA","ASPA"
"2987","KHDRBS3","KHDRBS2"
"2988","MCM6","ING5"
"2989","MAGEA4","TEKT4"
"2990","PRKAR1A","PLEKHF2"
"2991","DVL2","RBPMS"
"2992","DVL3","BAHD1"
"2994","WBP11","C5orf22"
"2996","FXR2","MCRS1"
"2997","ZBTB32","RHOXF2"
"2998","CCDC112","C1orf190"
"3001","PSMC6","C1orf216"
"3002","LDB1","TOLLIP"
"3004","KRT15","RHPN1"
"3005","DVL3","ZNF408"
"3007","PCBD1","GORASP2"
"3008","CALCOCO2","FASTK"
"3012","HOXA9","PLSCR1"
"3013","CCNK","RHOXF2"
"3015","AQP1","KRTAP4-12"
"3016","CPSF4","FIP1L1"
"3018","KRT15","FAM107A"
"3020","FXR2","TRIM29"
"3022","KRT15","ARC"
"3023","FXR2","CCDC33"
"3030","NOC4L","TSC22D4"
"3031","HNRNPM","RBM4B"
"3032","SLU7","CCDC85B"
"3033","DTNB","BEGAIN"
"3036","TRIP13","PBLD"
"3037","PPP3CA","C16orf74"
"3038","GFAP","PDZK1"
"3039","DDX19A","MIF4GD"
"3045","TRAF2","RGS14"
"3046","FAM107A","BEGAIN"
"3047","IPO11","PLCD4"
"3049","PRMT2","DMRTB1"
"3050","CRY1","TRAF2"
"3051","CCDC101","CCDC158"
"3055","CCDC85B","Cep70"
"3058","SMARCD1","LDOC1"
"3061","TRAF2","CALCOCO2"
"3063","RABAC1","RABAC1"
