"","gene1","gene2"
"1510","KRTAP4-12","FAM27E3"
"1512","AP2B1","MLH1"
"1514","TRIP13","MAD2L1BP"
"1518","PRKAR1A","C2orf88"
"1519","GFAP","PDLIM1"
"1521","PSMA1","CALCOCO2"
"1522","PEX5","SIRT3"
"1523","PRPF3","CCDC85B"
"1528","GABRD","UBQLN1"
"1530","PDLIM4","RBPMS"
"1531","PIN1","GGA2"
"1532","CCDC85B","COPS4"
"1533","RAB3IL1","RAB3IL1"
"1534","GFAP","KIAA0408"
"1535","KRT15","CCDC101"
"1536","PNKP","MYOZ1"
"1539","RNF40","SPRYD5"
"1540","KRT15","FAM164C"
"1541","FBXL18","KRTAP4-12"
"1542","AP2B1","AP1M1"
"1544","C10orf10","USHBP1"
"1546","PLSCR1","PHLDA1"
"1548","FAM107A","LDOC1"
"1550","SDSL","SDSL"
"1551","BIRC2","JUP"
"1552","ACTG1","CFL1"
"1554","MAGEA11","AKR1C3"
"1557","CCDC85B","FBF1"
"1558","PCM1","ING5"
"1560","APPBP2","EID3"
"1561","HGS","USHBP1"
"1562","BAHD1","BEGAIN"
"1563","MAGEA11","PRKRIP1"
"1566","DUT","SPATA2"
"1567","NECAB2","CENPO"
"1571","KRT6B","KRT19"
"1572","FOSL1","LDOC1"
